aoi,date,fid,area_ha,mean_dnbr,pre_bright,post_bright,delta,decision
36SUG,2025-08-13,5,8.0,0.19640038289428843,1316.8,785.7,-0.403,keep
36SUG,2025-08-13,6,4.0,0.4281480701617332,1262.1,821.0,-0.349,keep
36SUG,2025-08-13,7,3.4,0.3746479723206978,1307.8,952.6,-0.272,keep
36SUG,2025-08-13,8,3.4,0.29965929225713966,1268.6,1012.9,-0.202,keep
36SUG,2025-08-13,9,3.4,0.24157034193030236,1141.7,1171.9,0.026,keep
36SUG,2025-08-13,10,6.0,0.23431333628572276,1299.6,1006.2,-0.226,keep
36SUG,2025-08-13,11,6.0,0.22443635313536894,1083.5,987.1,-0.089,keep
36SUG,2025-08-13,12,6.0,0.2811676497319422,2094.5,1568.5,-0.251,keep
36SUH,2025-08-11,0,27.9,0.3624659558213641,1748.3,2042.8,0.168,eliminate
36SUH,2025-08-11,1,45.1,0.3466276463605806,2236.7,2858.6,0.278,eliminate
36SUH,2025-08-13,0,41.8,0.45922437190850957,2132.1,2378.8,0.116,eliminate
36SUH,2025-08-13,1,46.5,0.40203142891513194,2133.6,2854.6,0.338,eliminate
36SUJ,2025-08-11,0,31.0,0.18796253176054556,2769.3,2719.3,-0.018,keep
36SUJ,2025-08-11,1,76.4,0.19796775147228843,2206.6,1800.6,-0.184,keep
36SUJ,2025-08-11,2,52.8,0.19923770417161682,2734.2,2630.6,-0.038,keep
36SUJ,2025-08-11,3,41.5,0.2015224050296286,2249.9,1926.5,-0.144,keep
36SUJ,2025-08-11,4,62.6,0.18245179978181275,2593.2,2406.2,-0.072,keep
36SUJ,2025-08-13,0,31.2,0.17866722052659395,2110.0,1776.6,-0.158,keep
36SUJ,2025-08-13,1,32.2,0.17998401715723056,2676.8,2600.7,-0.028,keep
36SVE,2025-08-12,0,6.1,0.17833716470341301,1745.7,1547.3,-0.114,keep
36SVE,2025-08-15,0,81.5,0.4642356691497914,1697.5,1571.2,-0.074,keep
36SVF,2025-08-12,0,28.6,0.28771381068217283,1363.4,1126.1,-0.174,keep
36SVF,2025-08-12,1,201.4,0.4296570457252554,1336.2,1267.3,-0.052,keep
36SVF,2025-08-13,0,4.0,0.2811127470302729,1238.4,1141.4,-0.078,keep
36SVF,2025-08-13,1,6.9,0.33396984924006573,1066.6,1333.3,0.25,eliminate
36SVF,2025-08-13,2,4.3,0.2953744620964253,1275.0,1291.3,0.013,keep
36SVF,2025-08-13,3,3.5,0.3308720888644006,1115.0,1075.8,-0.035,keep
